"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 13 10:43:58 ICT 2022","Wed Apr 13 10:44:05 ICT 2022","7087","","Login Function","","Login Function","should see message when login invalid both email and password","should see message when login invalid both email and password",""
"passed","Wed Apr 13 10:43:40 ICT 2022","Wed Apr 13 10:43:48 ICT 2022","7727","","Login Function","","Login Function","should login successfully","should login successfully",""
"passed","Tue Apr 12 22:32:46 ICT 2022","Tue Apr 12 22:32:49 ICT 2022","2424","","End to end Login Validation Application: As a user, I can log into the secure area","","End to end Login Validation Application: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"passed","Wed Apr 13 10:45:25 ICT 2022","Wed Apr 13 10:45:29 ICT 2022","3850","","Smoke test for Pixel 2 API 30","","Smoke test for Pixel 2 API 30","SM 003","SM 003",""
"passed","Wed Apr 13 10:45:19 ICT 2022","Wed Apr 13 10:45:25 ICT 2022","5602","","Smoke test for Pixel 2 API 30","","Smoke test for Pixel 2 API 30","SM 002","SM 002",""
"passed","Fri Mar 18 14:34:58 ICT 2022","Fri Mar 18 14:35:04 ICT 2022","6715","","Login Function","","Login Function","should see message when login invalid password","should see message when login invalid password",""
"passed","Tue Apr 12 22:32:53 ICT 2022","Tue Apr 12 22:32:55 ICT 2022","2369","","End to end Login Validation Application: As a user, I can log into the secure area","","End to end Login Validation Application: As a user, I can log into the secure area","Then I should see a flash message saying message","Then I should see a flash message saying message",""
"passed","Tue Apr 12 22:32:49 ICT 2022","Tue Apr 12 22:32:53 ICT 2022","4116","","End to end Login Validation Application: As a user, I can log into the secure area","","End to end Login Validation Application: As a user, I can log into the secure area","When I login with correct username and password","When I login with correct username and password",""
"passed","Fri Mar 18 14:34:51 ICT 2022","Fri Mar 18 14:34:58 ICT 2022","6541","","Login Function","","Login Function","should see message when login invalid email","should see message when login invalid email",""
"passed","Wed Apr 13 10:45:29 ICT 2022","Wed Apr 13 10:45:36 ICT 2022","7037","","Smoke test for Pixel 2 API 30","","Smoke test for Pixel 2 API 30","SM 004","SM 004",""
"passed","Wed Apr 13 10:45:12 ICT 2022","Wed Apr 13 10:45:19 ICT 2022","7172","","Smoke test for Pixel 2 API 30","","Smoke test for Pixel 2 API 30","SM 001","SM 001",""
"failed","Wed Apr 13 10:43:54 ICT 2022","Wed Apr 13 10:43:58 ICT 2022","3936","","Login Function","","Login Function","should see message when login invalid password","should see message when login invalid password",""
"broken","Fri Mar 18 14:34:45 ICT 2022","Fri Mar 18 14:34:51 ICT 2022","6351","","Login Function","","Login Function","should login successfully","should login successfully",""
"passed","Wed Apr 13 10:43:48 ICT 2022","Wed Apr 13 10:43:54 ICT 2022","6158","","Login Function","","Login Function","should see message when login invalid email","should see message when login invalid email",""
"passed","Fri Mar 18 14:35:04 ICT 2022","Fri Mar 18 14:35:10 ICT 2022","5891","","Login Function","","Login Function","should see message when login invalid both email and password","should see message when login invalid both email and password",""
